Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Arcubisite,Minerals,Unknown,(Ag6CuBiS4),Unknown,Unknown,Unknown,Unknown,Grey,Unknown,Unknown,Unknown,Unknown,Unknown,Metallic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ardaite,"Sulfosalt minerals,Lead minerals",Unknown,Pb19Sb13S35Cl7,Unknown,MonoclinicUnknown space group,Unknown,Unknown,Greenish gray or bluish green,Unknown,Unknown,Unknown,Unknown,2.5-3,Metallic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak,Unknown,Unknown,Unknown,Unknown
Arfvedsonite,InosilicatesAmphiboles,C2/m,[Na][Na2][(Fe2+)4Fe3+][(OH)2|Si8O22],Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Black, deep green on thin edges","Fibrous, radial prismatic aggregates",Simple or lamellar parallel to [100],Perfect on [110],Uneven,5–6,Vitreous,"Deep bluish gray, gray-green",Translucent to opaque,3.3–3.5,Biaxial (−),nα= 1.652–1.699nβ= 1.660–1.705nγ= 1.666–1.708,δ = 0.014,"Strong: Blue-greens, yellow-browns, gray-violets",Unknown,Unknown,Unknown,Unknown
Argentobaumhauerite,Minerals,Unknown,Ag1.5Pb22As33.5S72,Unknown,Unknown,Unknown,Unknown,Steel grey,Unknown,Unknown,Unknown,Conchoidal,3,Metallic,Reddish brown,Unknown,5.31,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Argentojarosite,Sulfate mineral,R3m,AgFe3+3(SO4)2(OH)6,Unknown,Trigonal,Ditrigonal pyramidal (3m),Unknown,"Yellow, yellow-brown, brown","Coatings, fine-grained masses",Unknown,{0001} distinct,Unknown,3.5-4.5,Vitreous,Light yellow,Unknown,3.66,Uniaxial (-),Unknown,Unknown,"Dichroic,O: Yellow,E: Pale yellow",Unknown,Unknown,Unknown,Unknown
Argentopyrite,Sulfide mineral,P1121/n,AgFe2S3,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Bronze-brown or gray-white; iridescent (many colors),"Tabular prisms, pseudohexagonal or pseudo-orthorhombic, possibly pyramidally-terminated",Unknown,Unknown,Uneven,3.5-4,Metallic,Grey,Opaque,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Argutite,Oxide mineral,TetragonalH–M Symbol: (4/m 2/m 2/m)Space group:P42/mnm,104.61,Unknown,TetragonalDitetragonal dipyramidal class,Unknown,Unknown,"Grayish black, light gray in reflected light","Subhedral crystals, as inclusions in sphalerite",Occasionally twinned on {101},Unknown,Unknown,6-7,Vitreous-adamantine,Unknown,Transparent to opaque,6.28 calculated,Uniaxial (+),2.01,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Argyrodite,Sulfide mineral,Pna21,Ag8GeS6,Unknown,Orthorhombic,Pyramidal (mm2)H-M symbol: (mm2),Unknown,"Black, purplish tinge","Pseudo-octahedra or pseudo-cubic, dodecahedra, cubes; radiating crystal aggregates, botryoidal crusts, or massive",Pseudospinel law {111} penetration twins,Absent,Uneven to conchoidal,2.5,Metallic,Unknown,Opaque,6.2-6.5,Weakly anisotropic,Unknown,Unknown,Weak,Unknown,Unknown,Unknown,Unknown
Arhbarite,Minerals,Unknown,Cu2Mg(AsO4)(OH)3,Unknown,Unknown,Unknown,Unknown,Dark blue to medium blue,Unknown,Unknown,Unknown,Unknown,Unknown,"Sub-Vitreous, Waxy",Unknown,Unknown,3.71,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Armalcolite,Titanium mineral,Bbmm,"(Mg,Fe2+)Ti2O5",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Gray to tan in reflection, opaque",Unknown,Unknown,Unknown,Unknown,<5,Metallic,Unknown,Unknown,4.64 g/cm3(measured),Biaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Armstrongite,Phyllosilicateminerals,Unknown,CaZr[Si6O15]·3H2O,Unknown,Monoclinic,Unknown,Unknown,Dark to light brown,Unknown,Unknown,"Perfect on {001}, good on {100}",Unknown,4.5,Vitreous,Brownish white,Translucent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arsendescloizite,Arsenate mineral,P212121,PbZn(AsO4)(OH),Unknown,Orthorhombic,DisphenoidalH-M symbol: 2 2 2,Unknown,"Pale yellow to deep green, greyish brown",Unknown,Unknown,Unknown,Unknown,4,Sub-vitreous,White,Transparent,6.57,Biaxial (−),nα= 1.990nβ= 2.030nγ= 2.035,0.045,None,Unknown,Unknown,Unknown,Unknown
Arsenic,Unknown,group 15 (pnictogens),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arseniosiderite,Arsenate mineral,A2/a,766.50 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Bronze brown; yellow to black,Fibrous,Unknown,{100} good,Unknown,4.5,Submetallic,Ochraceous,Translucent to opaque,"3.5–3.9, average = 3.7",Biaxial (−),"nα= 1.815, nβ= 1.898, nγ= 1.898",δ = 0.083,Unknown,Unknown,Unknown,Unknown,Non-fluorescent
Arsenoclasite,Arsenate mineral,P212121[3],620.56 g/mol[4],Unknown,Orthorhombic[1],Disphenoidal (222)H-M symbol: (222),Unknown,"Red, dark orange-brown[3]",Massive or granular[1],Unknown,Perfect on {010}[3],Unknown,5–6[1],Unknown,Unknown,Translucent[3],Unknown,Biaxial (−)[1],"nα= 1.787, nβ= 1.810, nγ= 1.816[1]",δ = 0.029[1],Unknown,Unknown,Unknown,Unknown,Unknown
Arsenolite,Oxide mineral,Fd3m,197.841 g/mol,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"White, pale blue, pink to pale yellow if impure","Common as tiny octahedra; aggregates or crusts; botryoidal, stalactitic",Unknown,On {111},Conchoidal,1.5,Vitreous to silky; may be earthy or dull,white /pale white,Transparent,3.87,Isotropic; may be anomalously anisotropic,n = 1.755,Unknown,Unknown,Unknown,Unknown,Unknown,"Astringent, sweetish taste; toxic"
Arsenopyrite,Sulfide mineral,P21/c,FeAsS,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,"Acicular, off-square prismatic, stubby; striated; also compact, granular, columnar","Common on {100} and {001}, contact/penetration twinning on {101}",110 (distinct),Subconchoidal to rough,5.5–6,Unknown,Black,Opaque,5.9–6.2,Anisotropism – strong red-violet,Unknown,Unknown,"Weak, white or bluish tint, faint reddish yellow",Unknown,Nitric acid,Unknown,"Garlic odour when struck, greenish tinge when weathered, green staining of wall rocks"
Arthurite,Arsenate minerals,P21/c,"CuFe23+[(OH,O)(AsO4,PO4,SO4)]2·4H2O",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Apple-green to bluish-green,"Acicular, prismatic, spherical",Unknown,Unknown,Unknown,3–4,vitreous,not reported,Unknown,Unknown,"Biaxial (+), may be biaxial (–)",Unknown,Unknown,X = colorless to pale green; Y = gray-green; Z = olive-green,Unknown,Unknown,Unknown,Opacity: transparent to translucent
Artinite,Carbonate mineral,C2/m,Mg2(CO3)(OH)2·3H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,White,"Acicular crystals, fibrous veinlets,botryoidalcrusts, and spherical aggregates",Unknown,On {100} perfect; on {001} good.,Unknown,2.5,"Vitreous, silky",White,Transparent,2.01 – 2.03,Biaxial (−),nα = 1.488 – 1.489 nβ = 1.533 – 1.534 nγ = 1.556 – 1.557,δ = 0.068,Unknown,Unknown,Unknown,Unknown,Unknown
Artroeite,Halide,P1,PbAlF3(OH)2,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Asbolane,Hydroxide mineral,Unknown,"Mn4+(O,OH)2·(Co,Ni,Mg,Ca)x(OH)2x·nH2O",Unknown,Hexagonal crystal system,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aschamalmite,Minerals,Unknown,Pb6Bi2S9,Unknown,Unknown,Unknown,Unknown,Lead-grey,Unknown,Unknown,Unknown,Unknown,Unknown,Metallic,Unknown,Opaque,7.33,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ashburtonite,Cyclosilicates,I4/m,HPb4Cu4Si4O12(HCO3)4(OH)4Cl,Unknown,Tetragonal,Dipyramidal (4/m)H-M symbol: (4/m),Unknown,Blue,"Prismatic, needle like in clusters",Unknown,None,Conchoidal,Unknown,Vitreous to adamantine,light blue,Transparent,"Greater than 4.07, calculated 4.69",Uniaxial (+),nω= 1.786 nε= 1.800,0.0140,Unknown,Unknown,Unknown,Unknown,Unknown
Ashcroftine-(Y),Minerals,Unknown,"K5Na5(Y,Ca)12Si28O70(OH)2(CO3)8·8H2O",Unknown,Unknown,Unknown,Unknown,Pink,Unknown,Unknown,Unknown,Unknown,5,"Sub-Vitreous, Waxy, Silky",Unknown,Unknown,2.61,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ashoverite,Minerals,Unknown,Zn(OH)2,Unknown,Tetragonal,Unknown,Unknown,"Colourless, milky",Unknown,Unknown,Perfect on {001},Unknown,Unknown,"Vitreous, Dull",White,Translucent,3.3,Uniaxial (+),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Asisite,Halide,TetragonalH-M symbol: (4/m 2/m 2/m)Space group:I4/mmm,Pb7SiO4O4Cl2,Unknown,TetragonalDitetragonal dipyramidal class,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3+1⁄2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aspedamite,Minerals,Unknown,[]12(Fe3+2Fe2+)Nb4(ThNb9Fe3+2Ti4+O42)(H2O)9(OH)3,Unknown,Unknown,Unknown,Unknown,Brownish orange to deep red,Unknown,Unknown,None Observed,Unknown,Unknown,Adamantine,Very pale orange,Unknown,4.070,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aspidolite,Phyllosilicateminerals,C2/m,NaMg3AlSi3O10(OH)2,Unknown,Monoclinic,2/m,Unknown,Unknown,Unknown,Unknown,Unknown,Micaceous,Unknown,Unknown,Unknown,Unknown,Unknown,Biaxial (-),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Astrocyanite-(Ce),Minerals,Unknown,"Cu2(Ce,Nd,La)2(UO2)(CO3)5(OH)2·1.5H2O",Unknown,Unknown,Unknown,Unknown,"Blue, Bright blue, Blue green",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Astrophyllite,InosilicatesAstrophyllite group,A1,"(K,Na)3(Fe++,Mn)7Ti2Si8O24(O,OH)7",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Golden brown to yellow; rarely greenish,"Tabular to bladed, radiating, stellate aggregates; lamellar masses",Unknown,Perfect on [001] imperfect on [100],Uneven,3–4,"Greasy, pearly, sub-metallic",Yellowish brown or white,Translucent to opaque,3.2–3.4,Biaxial positive,nα = 1.680 nβ = 1.700 nγ = 1.730,0.050,Strong: X= deep red-orange Y= orange-yellow Z= lemon-yellow,Unknown,Unknown,Unknown,Unknown
Atacamite,Halide mineral,Pnma,Cu2Cl(OH)3,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Bright green, dark emerald-green to blackish green","Slender prismatic crystals, fibrous, granular to compact, massive",Contact and penetration with complex twinned groupings,"Perfect on {010}, fair on {101}",Conchoidal,3–3.5,Adamantine to vitreous,Apple green,Transparent to translucent,3.745–3.776,Biaxial (−),nα= 1.831 nβ= 1.861 nγ= 1.880,δ = 0.049,X = pale green; Y = yellow-green; Z = grass-green,Unknown,Unknown,Unknown,Unknown
Atelestite,Minerals,Unknown,Bi2(AsO4)O(OH),Unknown,Unknown,Unknown,Unknown,"Sulphur-yellow to yellowish-green, wax-yellow, yellow-brown",Unknown,Unknown,"{001}, indistinct",Unknown,4.5-5,"Adamantine, Resinous",Unknown,Unknown,7.14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Atencioite,Minerals,Unknown,Ca2Fe2+3Mg2Be4(PO4)6(OH)4·6H2O,Unknown,Unknown,Unknown,Unknown,greenish brown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.86,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Athabascaite,Selenide mineral,Unknown,Cu5Se4,Unknown,OrthorhombicUnknown space group,Unknown,Unknown,"Light grey, bluish-gray to white","As anhedral inclusions and lath shaped crystals, also massive",Unknown,Unknown,Unknown,2.5,Metallic,Unknown,Opaque,6.59 (calculated),"Anisotropism strong, creamy white to dark blue",Unknown,Unknown,"Distinct, pale gray to blue-gray",Unknown,Unknown,Unknown,Unknown
Atheneite,Arsenide mineral,P62m,"(Pd,Hg)3As",Unknown,Hexagonal,Ditrigonal dipyramidal (6m2)H-M symbol: (6m2),Unknown,Gray to gray white; white with bluish tint in reflected light,"Irregular blebs, inclusions",Unknown,Unknown,Unknown,Unknown,Metallic,Unknown,Opaque,10.2,Unknown,Unknown,Unknown,"Very weak, in pale yellow to pale bluish gray",Unknown,Unknown,Unknown,Unknown
Attikaite,Minerals,Unknown,Ca3Cu2Al2(AsO4)4(OH)4·2H2O,Unknown,Unknown,Unknown,Unknown,"light blue, greenish blue",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aubertite,Minerals,Unknown,CuAl(SO4)2Cl·14H2O,Unknown,Triclinic,Unknown,Unknown,Azure-blue,Unknown,Unknown,{010} Perfect,Unknown,2-3,Vitreous,light blue,Unknown,1.815,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Augelite,Phosphate mineral,C2/m,Al2(PO4)(OH)3,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless to white, may be yellowish to pale rose, greenish",Tabular to prismatic or acicular crystals; massive,Unknown,"Perfect on {110}, good on {201}, imperfect on {001} and {101}",Uneven,4 – 4.5,"Vitreous, pearly on {110} cleavage",White,Transparent,2.696,Biaxial (+),nα= 1.574 nβ= 1.576 nγ= 1.588,δ = 0.014,Unknown,Unknown,Unknown,Unknown,Unknown
Augite,Inosilicateminerals (single chain),C2/c,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Black, brown, greenish, violet-brown; in thin section, colorless to gray with zoning common","Commonly as stubby prismatic crystals, also acicular, skeletal, dendritic",Simple or multiple on {100} and {001},{110} good with 87° between {110} and {110}; parting on {100} and {010},uneven to conchoidal,5.5 to 6,"Vitreous, resinous to dull",Greenish-white,Transparent to opaque,3.19–3.56,Biaxial (+),"nα= 1.680–1.735, nβ= 1.684–1.741, nγ= 1.706–1.774",δ = 0.026–0.039,"X = pale green, pale brown, green, greenish yellow; Y = pale brown, pale yellow-green, violet; Z = pale green, grayish green, violet",Unknown,Unknown,Unknown,Unknown
Aurichalcite,Carbonate mineral,P21/m,"(Zn,Cu)5[(OH)3|CO3]2",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Pale green, greenish blue, light blue; colorless to pale blue, pale green in transmitted light","Typically in tufted divergent sprays or spherical aggregates, may be in thick crusts; rarely columnar, laminated or granular",Observed in X-ray patterns,{010} and {100} Perfect,Uneven,2,"Pearly, silky",Light blue,Transparent,3.96,Biaxial (−),nα= 1.655 nβ= 1.740 nγ= 1.744,0.0890,Weak colorless to pale green,Unknown,Unknown,Unknown,Unknown
Auricupride,Native elements,Pm3m,387.60 g/mol,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,Yellow with reddish tint,Unknown,Unknown,Unknown,Malleable,3+1⁄2,Metallic,yellow,Opaque,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aurorite,Minerals,Unknown,"(Mn2+,Ag,Ca)Mn4+3O7·3H2O",Unknown,Unknown,Unknown,Unknown,"Black, pale brown in transmitted light at the edges of very thin, platy grains",Unknown,Unknown,Unknown,Unknown,Unknown,Metallic,Unknown,Unknown,3.81,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aurostibite,Sulfide minerals,Pa3,440.47 g/mol,Unknown,Isometric,Diploidal (m3)H-M Symbol: (2/m3),Unknown,White to grey withbornite-like tarnish,Unknown,Unknown,Indistinct,Unknown,3,metallic,Unknown,Opaque,9.98,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Austinite,Arsenate minerals,P212121[2],261.38 g/mol,Unknown,Orthorhombic,Disphenoidal (222)H-M symbol: (2 2 2),Unknown,"Colourless, white to pale yellowish-white or bright green, colourless in transmitted light[4]","Well developedorthorhombiccrystals of bladed or acicular habit elongated parallel to the c axis, sometimes with sceptre-like terminations, also radially fibrous crusts and nodules. Common forms are {110}, {111}, {1–11}, {010} and {011}.[2]","Left- and right-handed individuals joined on {100}, with {010} and {001} coincident.[5]",Good in two directions parallel to the prism faces {110}[2],Unknown,4 to 4.5,Subadamantine to silky in fibrous aggregates,White,Translucent to transparent,4.12,Biaxial (+),"nα= 1.759, nβ= 1.763, nγ= 1.783,",0.024[2],Unknown,Unknown,Easily soluble in cold dilute HCl[2],Unknown,Non-radioactive. Some austinite fluoresces green under SWUV.
Autunite,Phosphate minerals,Pnma,986.26 g/mol,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Lemon-yellow to sulfur-yellow, greenish yellow to pale green; may be dark green to greenish black","Tabular crystals, foliated or scaly aggregates, and in crusts",Rare on {110},"{001} perfect, {100} and {010} poor",uneven,2–2.5,Vitreous – pearly,Pale yellow,Transparent to translucent,3.1–3.2,Biaxial (−),nα= 1.553 – 1.555 nβ= 1.575 nγ= 1.577 – 1.578,δ = 0.003,X = colorless to pale yellow; Y = Z = yellow to dark yellow,Unknown,Soluble in acids,Unknown,"Pseudotetragonal for synthetic material,Radioactive"
Avicennite,Minerals,Ia3,Tl2O3,Unknown,Cubic,Diploidal (m3)H-M symbol: (2/m3),Unknown,Grayish black with brownish black tint,Unknown,Unknown,Unknown,Unknown,2[1],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Avogadrite,Halide mineral,Pnma,"(K,Cs)BF4",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Colorless to white, yellowish to reddish","Tabular to platy octagonal crystals, tiny crystals, elongate",Unknown,Unknown,Unknown,Unknown,"Vitreous, greasy",Unknown,Translucent,2.9,Biaxial (-),"nα= 1.3239, nβ= 1.3245, nγ= 1.3247",δ = 0.001,Unknown,Unknown,Unknown,Unknown,Bitter taste
Awaruite,Native element mineral,Pm3m,Ni2Fe to Ni3Fe,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,Silver-white to grayish white,"Massive; as pebbles, grains and flakes; rarely as crystals;  as rims or regular intergrowths withkamaciteinmeteorites",Unknown,Unknown,Unknown,5.5–6,Metallic,Unknown,Opaque,7.8–8.65,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Strongly magnetic
Axinite,Cyclosilicates,P1,"(Ca,Fe,Mn)3Al2BO3Si4O12OHorCa2(Fe,Mn)Al2BSi4O15(OH)",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"Reddish brown to yellow to colorless. Blue, violet, grey.","Tabular, wedge shaped crystals",Unknown,Good on {100},Conchoidal,6.0–7.5,Vitreous,White,Unknown,3.18–3.37,Biaxial (−),nα= 1.672–1.693nβ= 1.677–1.701nγ= 1.681–1.704,δ = 0.011,Strong,Unknown,Unknown,Unknown,Unknown
Azoproite,Borate mineral,Unknown,"(Mg,Fe2+)2(Fe3+,Ti,Mg)(BO3)O2",Unknown,Orthorhombic,Unknown,Unknown,Black,Unknown,Unknown,"Distinct/GoodGood on (010), less good on (001)",Conchoidal,5.5,Adamantine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Azurite,Carbonate mineral,P21/c,344.67 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Azure-blue, dark to pale blue; pale blue in transmitted light","Massive, prismatic, stalactitic, tabular","Rare, twin planes {101}, {102} or {001}","Perfect on {011}, fair on {100}, poor on {110}",Conchoidal,3.5 to 4,Vitreous,Light blue,Transparent to translucent,"3.773 (measured), 3.78 (calculated)",Biaxial (+),nα= 1.730 nβ= 1.758 nγ= 1.838,δ = 0.108,Visible shades of blue,Unknown,Unknown,Unknown,Unknown
Babefphite,Phosphate mineral,F1,"BaBe(PO4)(F,OH)",Unknown,Triclinic[2][3],Pedial (1)(sameH-M symbol),Unknown,White,"As anhedral, equant to flattened grains, to 1.5 mm; may be in aggregates, (pseudotetragonal)",Unknown,Unknown,Unknown,3.5,Vitreous,White,Transparent,4.31,Uniaxial (+)[4]– biaxial positive (pseudouniaxial)[3],nω = 1.629 nε = 1.632,0.003,Unknown,Unknown,Unknown,Unknown,Unknown
Babingtonite,Inosilicate,P1,"Ca2(Fe,Mn)FeSi5O14(OH)",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Dark green to black,Prismatic crystals,Unknown,"Perfect on {001}, Good on {010} and {100}",Irregular/uneven,5.5 to 6,Vitreous,Unknown,"Translucent on thin edges, opaque",3.3,Unknown,nα= 1.700 nβ= 1.710 nγ= 1.725,δ = 0.025,Visible,Unknown,Unknown,Unknown,Unknown
Baddeleyite,Oxide mineral,P21/c,Zirconium dioxide(ZrO2),Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless to yellow, blue, green, greenish or reddish brown, brown, iron-black","Tabular prismatic, radially fibrous in botryoidal masses",Ubiquitous polysynthetic on {100} and {110},{001} distinct,Irregular uneven to subconchoidal,6.5,Greasy to vitreous,White,Transparent to translucent,5.5–6,Biaxial (–),nα= 2.130nβ= 2.190nγ= 2.200,δ = 0.070,"X = yellow, reddish brown, oil-green; Y = oil-green, reddish brown; Z = brown, light brown",Unknown,Unknown,Unknown,Blue-green cathodoluminescence
Baileychlore,Phyllosilicateminerals,Unknown,"(Mg,Fe)3(Si,Al)4O10(OH)2·(Mg,Fe)3(OH)6",Unknown,Monoclinic2/m; with sometriclinicpolymorphs.,Unknown,Unknown,"Various shades of green; rarely yellow, red, or white.","Foliated masses, scaley aggregates, disseminated flakes.",Unknown,Perfect 001,Lamellar,2–2.5,"Vitreous, pearly, dull",Pale green to grey,Unknown,2.6–3.3,Unknown,1.57–1.67,Unknown,Unknown,Unknown,Unknown,Unknown,Folia flexible – not elastic
Bakerite,Nesosilicate,P21/c,Ca4B4(BO4)(SiO4)3(OH)3·H2O,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Colorless, white",Unknown,Unknown,Unknown,Unknown,4+1⁄2,"Vitreous, dull",Unknown,Translucent,2.88,Biaxial (-),nα= 1.624 nβ= 1.635 nγ= 1.654,δ = 0.030,Unknown,Unknown,Unknown,Unknown,Unknown
Balangeroite,Inosilicate,P2/n,"(Mg,Fe,Fe,Mn)42Si16O54(OH)40",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Brown,Fibrous,Unknown,Very good in two directions,Unknown,Unknown,Vitreous to greasy,Brownish white,Subtranslucent to opaque; transparent in thin section,2.96 - 3.10,Biaxial -,nα= 1.680 nγ= 1.680,δ = 0.000,Dark brown and yellow brown parallel and perpendicular to [001],Unknown,Unknown,Unknown,Unknown
Banalsite,Tectosilicateminerals,Iba2(no. 45),BaNa2Al4Si4O16,Grandfathered (1944),Orthorhombic,Rhombic pyramidal(mm2),Unknown,"White, brown","Rarely showing traces of crystal faces; coarsely crystalline to compact, massive",Unknown,Good on {110} and {001},Unknown,6.5,"Vitreous, pearly on cleavage",White,Translucent to transparent,3.065,Biaxial (+),nα= 1.570 nβ= 1.571 nγ= 1.578,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bannisterite,Phyllosilicateminerals,B2/b,"(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8· nH2O n ~ 5.5",Unknown,Monoclinic,PrismaticH-M Symbol: 2/m,Unknown,Dark brown,Unknown,Unknown,Perfect on {001},Micaceous,4,"Sub-vitreous, resinous, greasy",Creamy white,Translucent,2.83 - 2.84,Biaxial (-),nα= 1.544 - 1.574nβ= 1.586 - 1.611nγ= 1.589 - 1.612,0.045,Visible,Unknown,Unknown,"Zn, Na",Unknown
Baotite,Cyclosilicate,I41/a,"Ba4Ti4(Ti,Nb,Fe)4(Si4O12)O16Cl",Unknown,Tetragonal,Dipyramidal (4/m)H-M symbol: (4/m),Unknown,light brown to black,"anhedral to subhedral, prismatic and striated parallel to (001)",Unknown,fair on {110},hackly,6,vitreous,Unknown,Unknown,Unknown,Uniaxial (+),"nω= 1.94,nε> 2.00",Unknown,strong,Unknown,Unknown,Unknown,Unknown
Bararite,Halide mineral,P3m1,(NH4)2SiF6,Unknown,Trigonal,Hexagonal scalenohedral (3m)H-M symbol: (32/m),Unknown,White to colorless,"Tabular, sometimes elongated on{0001},also appears in irregularly shaped ormammillarysurfaces that comprise mainlycryptohalite","Interpenetration twins (paddlewheels/darts), axis parallel to {0001}",[0001] perfect,Unknown,2.5,Vitreous,Unknown,Transparent,2.152 (synthetic),Uniaxial (-),"nω= 1.406 ± 0.001,nε= 1.391 ± 0.003",0.015 ± 0.003,Unknown,Unknown,Dissolves in water,Unknown,salty taste
Baratovite,Minerals,C2/c,"KCa7(Ti,Zr)2Li3Si12O36F2",Unknown,Monoclinic,PrismaticH-M symbol: 2/m,Unknown,"White, colorless, pink",Unknown,Common on {001},Perfect on {001},Conchoidal,5 - 6,"Vitreous, pearly",White,Unknown,2.92,Biaxial (+),nα= 1.674nβ= 1.671nγ= 1.666,0.008,Unknown,Unknown,Unknown,"Fe, Nb, Mn, Na",Radioactive
Barrerite,Tectosilicateminerals,Amma,Na2(Si7Al2)O18·6H2O,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"White, pink",Unknown,Unknown,Perfect,Unknown,3 - 4,Vitreous-glassy,White,Transparent to translucent,2.13,Biaxial (-),nα= 1.479 nβ= 1.485 nγ= 1.489,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
